ID,PIB,AP,AS,AT,Cov,Cov_D,Cov_D_C
1,"13,759,047","469,132","5,068,363","7,401,190",0,0,0
2,"13,889,138","491,945","4,942,115","7,643,696",0,0,0
3,"13,862,878","492,500","5,133,706","7,507,541",0,0,0
4,"14,077,368","529,809","5,153,334","7,631,082",0,0,0
5,"14,100,080","460,416","5,219,093","7,563,239",0,0,0
6,"14,655,091","525,072","5,273,660","7,967,045",0,0,0
7,"14,488,837","456,543","5,385,402","7,826,046",0,0,0
8,"14,787,049","537,902","5,345,335","8,126,844",0,0,0
9,"14,043,967","453,727","5,055,196","7,665,270",0,0,0
10,"13,287,437","493,034","4,510,915","7,517,247",0,0,0
11,"13,412,225","501,004","4,712,720","7,471,793",0,0,0
12,"13,857,619","556,326","4,871,952","7,703,353",0,0,0
13,"14,237,674","499,746","5,183,003","7,700,991",0,0,0
14,"14,340,835","514,430","5,121,590","7,886,169",0,0,0
15,"14,412,889","494,418","5,346,339","7,806,071",0,0,0
16,"15,005,117","571,738","5,533,799","8,108,825",0,0,0
17,"14,809,598","501,737","5,474,031","7,956,523",0,0,0
18,"15,584,322","530,032","5,652,751","8,492,716",0,0,0
19,"15,624,240","475,667","5,910,875","8,383,796",0,0,0
20,"16,153,453","571,826","5,979,026","8,753,839",0,0,0
21,"16,337,140","525,745","6,157,850","8,666,024",0,0,0
22,"16,539,586","534,956","6,040,758","8,979,968",0,0,0
23,"16,552,826","521,291","6,272,873","8,861,629",0,0,0
24,"16,587,425","563,942","6,161,397","8,994,906",0,0,0
25,"16,704,986","577,000","6,266,602","8,858,740",0,0,0
26,"16,929,126","526,692","6,127,839","9,254,906",0,0,0
27,"17,050,479","504,255","6,416,449","9,190,243",0,0,0
28,"17,151,173","564,426","6,268,381","9,412,020",0,0,0
29,"17,649,717","555,240","6,611,811","9,430,285",0,0,0
30,"17,862,005","561,194","6,479,530","9,777,987",0,0,0
31,"18,020,875","481,213","6,836,706","9,693,430",0,0,0
32,"17,714,820","599,293","6,418,355","9,804,432",0,0,0
33,"17,764,227","537,428","6,560,656","9,520,942",0,0,0
34,"17,874,017","599,396","6,302,069","9,847,305",0,0,0
35,"17,761,063","530,879","6,588,807","9,622,905",0,0,0
36,"17,526,894","643,599","6,280,011","9,678,999",0,0,0
37,"17,079,177","549,329","6,131,868","9,306,569",0,0,0
38,"18,016,819","589,179","6,279,507","10,004,705",0,0,0
39,"17,827,998","525,374","6,506,816","9,748,196",0,0,0
40,"17,834,405","621,292","6,383,048","9,843,188",0,0,0
41,"17,609,576","568,637","6,308,237","9,621,127",0,0,0
42,"18,082,636","611,577","6,336,551","9,970,371",0,0,0
43,"17,859,145","545,134","6,523,450","9,715,838",0,0,0
44,"18,045,914","644,566","6,409,967","9,962,913",0,0,0
45,"18,184,993","611,624","6,554,304","9,862,625",0,0,0
46,"18,770,261","617,554","6,609,350","10,335,537",0,0,0
