ID,PIB,AP,AS,AT,Cov,Cov_D,Cov_D_C,Fecha,Trimestre,Quarters
1,"$13,759,047.14","$469,131.61","$5,068,362.73","$7,401,189.90",0,0,0,3/31/1993,T1 1993,Q1 1993
2,"$13,889,138.02","$491,945.19","$4,942,114.69","$7,643,696.11",0,0,0,6/30/1993,T2 1993,Q2 1993
3,"$13,862,877.86","$492,499.83","$5,133,705.59","$7,507,540.59",0,0,0,9/30/1993,T3 1993,Q3 1993
4,"$14,077,367.59","$529,808.78","$5,153,334.00","$7,631,081.99",0,0,0,12/31/1993,T4 1993,Q4 1993
5,"$14,100,079.60","$460,415.89","$5,219,092.53","$7,563,238.85",0,0,0,3/31/1994,T1 1994,Q1 1994
6,"$14,655,091.44","$525,072.00","$5,273,660.39","$7,967,044.91",0,0,0,6/30/1994,T2 1994,Q2 1994
7,"$14,488,837.43","$456,542.67","$5,385,402.06","$7,826,046.47",0,0,0,9/30/1994,T3 1994,Q3 1994
8,"$14,787,048.88","$537,902.02","$5,345,334.58","$8,126,843.86",0,0,0,12/31/1994,T4 1994,Q4 1994
9,"$14,043,967.13","$453,727.05","$5,055,196.49","$7,665,270.48",0,0,0,3/31/1995,T1 1995,Q1 1995
10,"$13,287,437.00","$493,033.79","$4,510,914.52","$7,517,247.45",0,0,0,6/30/1995,T2 1995,Q2 1995
11,"$13,412,225.05","$501,004.42","$4,712,719.51","$7,471,792.75",0,0,0,9/30/1995,T3 1995,Q3 1995
12,"$13,857,618.82","$556,326.18","$4,871,952.29","$7,703,353.15",0,0,0,12/31/1995,T4 1995,Q4 1995
13,"$14,237,674.05","$499,745.89","$5,183,003.47","$7,700,990.91",0,0,0,3/31/1996,T1 1996,Q1 1996
14,"$14,340,835.47","$514,430.30","$5,121,590.01","$7,886,168.97",0,0,0,6/30/1996,T2 1996,Q2 1996
15,"$14,412,889.21","$494,418.49","$5,346,339.13","$7,806,071.15",0,0,0,9/30/1996,T3 1996,Q3 1996
16,"$15,005,117.10","$571,737.98","$5,533,799.06","$8,108,825.02",0,0,0,12/31/1996,T4 1996,Q4 1996
17,"$14,809,597.97","$501,737.07","$5,474,030.94","$7,956,522.79",0,0,0,3/31/1997,T1 1997,Q1 1997
18,"$15,584,321.59","$530,032.46","$5,652,751.17","$8,492,716.33",0,0,0,6/30/1997,T2 1997,Q2 1997
19,"$15,624,240.31","$475,667.19","$5,910,874.83","$8,383,796.18",0,0,0,9/30/1997,T3 1997,Q3 1997
20,"$16,153,453.32","$571,826.38","$5,979,025.74","$8,753,839.24",0,0,0,12/31/1997,T4 1997,Q4 1997
21,"$16,337,140.15","$525,744.59","$6,157,850.23","$8,666,024.22",0,0,0,3/31/1998,T1 1998,Q1 1998
22,"$16,539,586.10","$534,956.45","$6,040,758.05","$8,979,968.37",0,0,0,6/30/1998,T2 1998,Q2 1998
23,"$16,552,825.67","$521,291.10","$6,272,872.76","$8,861,628.75",0,0,0,9/30/1998,T3 1998,Q3 1998
24,"$16,587,424.61","$563,942.24","$6,161,397.43","$8,994,905.97",0,0,0,12/31/1998,T4 1998,Q4 1998
25,"$16,704,986.33","$576,999.98","$6,266,602.26","$8,858,739.98",0,0,0,3/31/1999,T1 1999,Q1 1999
26,"$16,929,125.81","$526,691.52","$6,127,838.97","$9,254,905.83",0,0,0,6/30/1999,T2 1999,Q2 1999
27,"$17,050,479.37","$504,254.55","$6,416,449.09","$9,190,243.41",0,0,0,9/30/1999,T3 1999,Q3 1999
28,"$17,151,172.79","$564,425.80","$6,268,380.91","$9,412,020.41",0,0,0,12/31/1999,T4 1999,Q4 1999
29,"$17,649,717.21","$555,239.69","$6,611,810.71","$9,430,285.10",0,0,0,3/31/2000,T1 2000,Q1 2000
30,"$17,862,005.38","$561,193.98","$6,479,530.21","$9,777,987.38",0,0,0,6/30/2000,T2 2000,Q2 2000
31,"$18,020,875.36","$481,213.06","$6,836,706.45","$9,693,429.78",0,0,0,9/30/2000,T3 2000,Q3 2000
32,"$17,714,819.59","$599,293.23","$6,418,355.47","$9,804,432.00",0,0,0,12/31/2000,T4 2000,Q4 2000
33,"$17,764,226.80","$537,427.51","$6,560,655.64","$9,520,942.30",0,0,0,3/31/2001,T1 2001,Q1 2001
34,"$17,874,017.32","$599,395.86","$6,302,069.05","$9,847,304.76",0,0,0,6/30/2001,T2 2001,Q2 2001
35,"$17,761,063.35","$530,879.23","$6,588,806.66","$9,622,904.64",0,0,0,9/30/2001,T3 2001,Q3 2001
36,"$17,526,894.47","$643,598.62","$6,280,011.12","$9,678,998.80",0,0,0,12/31/2001,T4 2001,Q4 2001
37,"$17,079,177.15","$549,329.16","$6,131,868.18","$9,306,569.48",0,0,0,3/31/2002,T1 2002,Q1 2002
38,"$18,016,819.26","$589,179.10","$6,279,507.12","$10,004,704.83",0,0,0,6/30/2002,T2 2002,Q2 2002
39,"$17,827,998.08","$525,373.63","$6,506,816.05","$9,748,196.29",0,0,0,9/30/2002,T3 2002,Q3 2002
40,"$17,834,404.57","$621,291.57","$6,383,048.31","$9,843,188.39",0,0,0,12/31/2002,T4 2002,Q4 2002
41,"$17,609,575.94","$568,637.26","$6,308,237.17","$9,621,127.45",0,0,0,3/31/2003,T1 2003,Q1 2003
42,"$18,082,636.09","$611,577.32","$6,336,550.56","$9,970,370.83",0,0,0,6/30/2003,T2 2003,Q2 2003
43,"$17,859,145.36","$545,133.63","$6,523,450.28","$9,715,838.19",0,0,0,9/30/2003,T3 2003,Q3 2003
44,"$18,045,914.23","$644,565.61","$6,409,967.20","$9,962,912.99",0,0,0,12/31/2003,T4 2003,Q4 2003
45,"$18,184,992.56","$611,624.32","$6,554,303.64","$9,862,624.97",0,0,0,3/31/2004,T1 2004,Q1 2004
46,"$18,770,261.45","$617,553.61","$6,609,350.19","$10,335,537.36",0,0,0,6/30/2004,T2 2004,Q2 2004
47,"$18,461,383.36","$527,377.82","$6,742,823.99","$10,081,493.20",0,0,0,9/30/2004,T3 2004,Q3 2004
